Trace,lru,opt,srrip,hwc 80 50 curr hotter,hwc 80 50 curr hotter lru
client_001,1.53551,1.53532,1.53513,1.5352,1.53541
client_002,1.80448,1.81663,1.80956,1.81624,1.81584
client_003,1.10398,1.10545,1.10355,1.10381,1.10508
client_004,1.44297,1.46193,1.44309,1.4462,1.45111
client_005,1.34822,1.35725,1.35009,1.35645,1.35875
client_006,1.46083,1.46264,1.46272,1.46279,1.46282
client_007,1.53637,1.53634,1.53874,1.53304,1.53404
client_008,1.51057,1.51186,1.5108,1.51229,1.51168
server_001,1.48785,1.5022,1.49436,1.50258,1.50093
server_002,1.38259,1.3826,1.38259,1.38261,1.38261
server_003,1.34368,1.37388,1.34829,1.3561,1.36408
server_004,1.02813,1.057,1.03981,1.05237,1.05495
server_009,1.08637,1.10502,1.0951,1.1065,1.10722
server_010,1.26931,1.31145,1.3252,1.34557,1.34596
server_011,1.59526,1.64359,1.61202,1.6279,1.63246
server_012,1.79566,1.876,1.83325,1.86745,1.86625
server_013,1.7332,1.80321,1.75869,1.78874,1.78878
server_014,1.41838,1.42222,1.4195,1.42171,1.42107
server_015,1.48474,1.48474,1.48474,1.48474,1.48474
server_016,1.84626,1.85105,1.85016,1.84999,1.85178
server_017,0.414121,0.414165,0.414165,0.414165,0.414165
server_018,0.423425,0.423424,0.423425,0.423425,0.423424
server_019,0.407122,0.407122,0.40712,0.407122,0.407122
server_020,0.426659,0.426659,0.426659,0.426659,0.426659
server_021,0.430375,0.430375,0.430375,0.430375,0.430375
server_022,0.431864,0.431864,0.43185,0.431864,0.431864
server_023,1.65635,1.66508,1.65865,1.666,1.66578
server_024,1.62608,1.63443,1.63106,1.63459,1.6344
server_025,1.61484,1.62453,1.62117,1.62429,1.62457
server_026,1.60499,1.61933,1.6149,1.61916,1.61909
server_027,1.60287,1.61165,1.60963,1.61116,1.61113
server_028,1.53496,1.53531,1.53516,1.53539,1.53534
server_029,1.51514,1.51535,1.51514,1.51534,1.51531
server_030,1.59647,1.59824,1.59772,1.59835,1.59834
server_031,1.4935,1.4939,1.49367,1.49408,1.49412
server_032,1.6164,1.61641,1.6164,1.61641,1.61641
server_033,1.72669,1.72669,1.72664,1.7267,1.72669
server_034,1.83105,1.83036,1.83105,1.83106,1.83106
server_035,1.33407,1.33408,1.33409,1.33408,1.33408
server_036,1.74416,1.74451,1.74459,1.7448,1.74469
server_037,1.74001,1.74001,1.74001,1.74001,1.74001
server_038,1.74469,1.74469,1.74469,1.74469,1.74469
server_039,1.66686,1.66686,1.66686,1.66686,1.66686
spec_gcc_001,1.48984,1.49083,1.48925,1.47962,1.48625
spec_gcc_002,0.228167,0.228202,0.228187,0.228161,0.228219
spec_gcc_003,0.261201,0.261264,0.261232,0.261287,0.261262
spec_gobmk_001,1.42617,1.42619,1.42676,1.42605,1.42693
spec_gobmk_002,1.69156,1.69118,1.69142,1.69137,1.69149
spec_perlbench_001,1.65751,1.65845,1.65671,1.65822,1.65768
spec_x264_001,3.1693,3.1693,3.1693,3.1693,3.1693
